Position,Frame,mean_curved,volume_curved,mean_background,mask_mean,mask_area,mask_eccentricity,mask_centroid_x,mask_centroid_y,mask_total
4,188,139.6052373959863,8172.0,134.91904047976013,185.85610200364297,1647.0,0.867660871786711,576.0977534911962,298.25500910746814,4017.0
50,188,110.24511496139812,213202.0,112.02575546257555,1200.895735457661,44061.0,0.9304577875233819,210.86166904972652,152.57302376251107,44061.0
51,188,108.6364609347128,2803.0,107.75073170731707,197.8421052631579,475.0,0.945688114583767,604.9157894736842,541.5852631578947,2238.0
52,188,107.56246048234125,11071.0,106.17059851463522,211.52173913043478,2047.0,0.9122475537026719,528.056179775281,643.0879335613092,2083.0
53,188,121.47488921713442,1354.0,117.93200916730329,185.46883468834687,369.0,0.7954194906850597,1081.989159891599,741.840108401084,369.0
54,188,109.25878270154831,18730.0,107.45458563535911,635.2211565585332,3545.0,0.8000220914377073,691.6671368124119,332.5148095909732,3545.0
55,188,,,,,,,,,
56,188,130.17391304347825,207.0,123.28235294117647,224.18571428571428,70.0,0.7828795303406553,509.14285714285717,669.6571428571428,70.0
57,188,113.73461183603533,15174.0,110.94096385542169,190.2417840375587,2556.0,0.8042036798415179,658.6737089201878,654.9115805946792,2556.0
58,188,128.6103896103896,77.0,125.5,180.82142857142858,28.0,0.7378324072014542,845.5357142857143,586.5,108.0
59,188,113.18715367173638,247417.0,113.36169465738195,1923.958527393951,51745.0,0.9782014264609981,1072.4275968692627,355.78596965890426,51745.0
5,188,152.19181497126237,14441.0,133.89821061894983,195.92771905898397,2933.0,0.8015009729453805,621.2771905898397,455.0746675758609,17282.0
60,188,126.39371155160629,1463.0,122.9052488070893,193.53045685279187,394.0,0.96179011280661,440.43147208121826,1051.3172588832488,394.0
61,188,108.5600938638651,743204.0,113.98551024062367,233.17905260860076,114525.0,0.9827971846576958,170.89966382885834,686.0781401440734,114525.0
62,188,109.84712354837815,432964.0,116.05817917867277,263.0261908245654,75179.0,0.9859113864385269,665.5785658229026,943.5680442676811,75283.0
63,188,107.54127845915141,797898.0,112.25841774659045,245.00678207058036,119580.0,0.9056819768152057,898.2075765178123,409.99890449908014,120757.0
64,188,106.89845533481697,836233.0,107.06697399668722,251.831791433892,134250.0,0.8744847262195334,705.3800446927374,258.1102271880819,136279.0
65,188,,,,,,,,,
66,188,,,,,,,,,
67,188,,,,,,,,,
68,188,122.6875,96.0,119.40758293838863,177.72222222222223,54.0,0.8719321865959961,709.2777777777778,507.68518518518516,229.0
69,188,126.74264705882354,952.0,123.04984423676012,190.36507936507937,252.0,0.6229791868473923,471.1904761904762,529.0555555555555,831.0
6,188,157.30923994038747,6710.0,146.84581395348837,205.17107195301028,1362.0,0.846524161915988,855.2533039647577,644.3825256975036,10069.0
70,188,109.69428248078067,674191.0,114.66453408793811,258.19579555624733,102796.0,0.9074623538875961,405.02053581851436,887.4204735592824,109770.0
71,188,123.71794871794872,39.0,123.19444444444444,178.76923076923077,13.0,0.0,593.0,822.0,13.0
72,188,108.00165662880143,852937.0,113.32479895567789,246.6774769490853,115939.0,0.8779319817303645,978.1253849006805,740.1532875046361,115939.0
73,188,108.35058537642105,637026.0,113.1047896110128,237.95279383429673,96534.0,0.9296760786017457,410.4869579629975,290.8827045393333,96720.0
74,188,128.03846153846155,104.0,123.640625,155.92307692307693,26.0,0.8666666666666666,690.0,710.5,26.0
75,188,120.69047619047619,126.0,115.92361111111111,186.57142857142858,42.0,0.8602085597081375,1178.1666666666667,185.95238095238096,112.0
76,188,107.43430525485118,741315.0,114.04868436304625,235.0360397354465,114457.0,0.9269603671005221,1022.4890395519715,544.0573403112086,925707.0
77,188,106.873858733988,904478.0,111.46140159327106,235.5280950374428,135273.0,0.9640025361526726,699.1129197992209,165.11968389848676,136176.0
78,188,106.95698748945982,697332.0,112.49860728744939,233.3333058450983,121264.0,0.8922940741625444,939.4392482517483,389.61496404538855,121312.0
79,188,109.26774499928047,173725.0,115.11690544412608,254.57372564201833,38745.0,0.9704137834928501,122.43182346109175,606.1873790166474,53218.0
7,188,149.22612400822803,13612.0,126.68320726172466,203.03084577114427,3015.0,0.7241111341336885,581.049087893864,260.38573797678276,30083.0
8,188,154.2118141516495,17369.0,122.2927400468384,205.2533068783069,3024.0,0.8324795015952641,712.8885582010582,440.6954365079365,16120.0
9,188,140.31993233157527,10049.0,134.16947040498442,188.0433090024331,2055.0,0.879333926462802,578.2214111922141,235.99318734793187,6079.0
10,189,154.26265763222284,10626.0,131.92304702681693,244.6478715459298,2678.0,0.8880425443219179,699.4775952203137,674.2830470500373,12091.0
11,189,125.93566176470588,544.0,124.17269736842105,158.49264705882354,136.0,0.7274911503895902,306.3235294117647,263.3602941176471,362.0
12,189,164.3824806091226,14053.0,132.12754491017964,230.97576264103637,2393.0,0.5766784857604443,675.5929795236106,535.3489343919766,10243.0
13,189,151.07530120481928,16268.0,126.89434563312982,220.56440422322774,3315.0,0.8778902658526392,561.7933634992459,487.49954751131224,27248.0
14,189,140.45716249545143,24733.0,128.43316049070444,199.3351111111111,6750.0,0.9942017247531593,232.38948148148148,999.1902222222222,7359.0
15,189,129.51937984496124,129.0,127.57192982456141,199.02325581395348,43.0,0.8558683180932193,122.16279069767442,609.9767441860465,154.0
16,189,132.2340425531915,282.0,128.4652278177458,171.69148936170214,94.0,0.7595490449657913,361.93617021276594,823.7340425531914,120.0
17,189,140.33,18000.0,121.27689175432643,280.0791174152876,6345.0,0.9824681003320301,496.7008668242711,290.68321513002365,6345.0
18,189,128.30816293672515,6211.0,125.84473481936972,184.78743545611016,1162.0,0.9659927041795604,1190.698795180723,245.28399311531842,45717.0
19,189,135.21625163827,8393.0,127.76458902408741,234.88953182535508,1901.0,0.9528284231606121,734.1309836927933,471.1067859021568,11354.0
1,189,139.00249272953886,24070.0,128.38032272523532,208.35115577889448,4975.0,0.8324985571905545,641.9117587939699,489.91577889447234,32354.0
20,189,127.52135374697825,1241.0,122.76864966949952,172.51492537313433,268.0,0.9097809281664749,336.1044776119403,507.7686567164179,268.0
21,189,150.04254322016246,19204.0,124.26163391933817,255.6818181818182,3278.0,0.822723213882961,292.35814521049423,664.4481391092129,3278.0
22,189,150.7439024390244,82.0,110.29444444444445,,,,,,
23,189,125.55401267535427,14043.0,123.45683183183183,199.47644628099172,2420.0,0.829341264651709,539.5119834710744,543.3371900826446,5219.0
24,189,137.3194103194103,21978.0,127.24968944099379,206.30704099821747,4488.0,0.8380408975677259,497.4930926916221,677.6887254901961,4488.0
25,189,,,,,,,,,
26,189,,,,,,,,,
27,189,122.12535835287986,3837.0,119.22700119474312,178.4628514056225,996.0,0.7836235481738075,375.10341365461846,738.2610441767068,4522.0
28,189,113.6078431372549,102.0,113.48425196850394,311.8333333333333,36.0,0.7993848477405117,524.0,974.0833333333334,36.0
29,189,122.12846797705257,10633.0,120.3779587199394,189.13557422969188,1785.0,0.8205049496175825,170.4532212885154,631.3042016806722,1785.0
2,189,153.5296795501205,11203.0,137.45761349939735,218.65955249569708,2905.0,0.7594085580439117,727.8495697074011,741.6382099827883,19221.0
30,189,118.86182669789227,854.0,116.50526315789473,190.50877192982455,285.0,0.8366841956684329,619.6245614035088,9.210526315789474,827.0
31,189,123.30713678237316,279846.0,116.66184675834971,418.8928231143615,38833.0,0.9535760971570657,215.26801946797826,489.1489969870986,251868.0
32,189,133.54189545746274,14023.0,128.0558289756998,201.556132640831,2503.0,0.8231473697017198,549.3248102277267,287.033559728326,5019.0
33,189,123.07112662209988,20344.0,115.6606263982103,229.38602838853325,3593.0,0.860805643821663,503.7634288895074,454.43640411912054,3593.0
34,189,,,,,,,,,
35,189,125.02470930232558,688.0,123.02456140350877,181.59302325581396,172.0,0.8264835583170121,544.0058139534884,577.796511627907,3048.0
36,189,,,,,,,,,
37,189,149.7397402267727,47272.0,125.72377365423479,243.36013227239846,9677.0,0.9769866841658295,248.28862250697532,754.7442389170197,19436.0
38,189,125.32165366947976,9361.0,121.43929592297278,188.28218029350106,2385.0,0.9634101688146686,873.7945492662474,162.17442348008385,25942.0
39,189,167.6049723756906,362.0,117.42553191489361,326.23770491803276,122.0,0.7805495487346958,534.4262295081967,211.5655737704918,122.0
3,189,148.93023121052326,17257.0,125.82413647851727,230.07815384615384,3250.0,0.8466527339195697,710.4332307692308,622.5116923076923,22684.0
40,189,136.46520131300122,24067.0,121.01902032308494,271.8409238776838,6148.0,0.7318884796266971,452.75650618087184,563.5494469746259,12329.0
41,189,112.67031950790458,785051.0,113.24954346855682,326.17505608118734,120807.0,0.882706686182066,365.60421995414174,238.21203241534016,135447.0
42,189,115.29000872184218,870229.0,114.67758534830963,303.63073923515094,156946.0,0.8666024762172336,754.8679864411963,811.9518433091637,156982.0
43,189,114.22778152393796,14830.0,112.45795561112848,702.5174306003873,3098.0,0.8267496375605738,604.2295029051,265.49354422207875,6704.0
44,189,,,,,,,,,
45,189,126.19047619047619,84.0,121.11510791366906,199.85714285714286,28.0,0.7428786667040302,695.5,260.32142857142856,117.0
46,189,124.95744680851064,188.0,107.8970588235294,185.4255319148936,47.0,0.9092174669100619,454.02127659574467,278.36170212765956,47.0
47,189,114.30488636960058,19053.0,108.76596327761031,363.7473185333001,4009.0,0.5792075787187865,706.664255425293,449.15115989024696,35976.0
48,189,124.98101265822785,158.0,120.0575,188.09259259259258,54.0,0.8644880209747388,247.92592592592592,218.12962962962962,177.0
49,189,,,,,,,,,
4,189,139.7178158628936,7527.0,136.23922695220685,196.9201320132013,1515.0,0.8699655671906255,574.9392739273927,297.7300330033003,5312.0
50,189,110.58806390308288,182589.0,112.51081403834671,1333.645511646166,38210.0,0.9175404263539398,233.43166710285266,173.79115414812875,38210.0
51,189,108.50397175639894,2266.0,107.63883196721312,200.73214285714286,392.0,0.9491669564440793,606.3775510204082,540.2244897959183,2532.0
