Position,Frame,mean_curved,volume_curved,mean_background,mean_mip,volume_mip
48,26,153.93232670371452,27352,169.87872679045094,57918.844695309075,9124
49,26,150.99898586829516,45359,171.06785351760755,57889.24568636433,13098
4,26,159.54412277642135,40138,183.8290101010101,59011.45289708266,9872
50,26,157.0404254700805,34409,179.45370458663106,59378.52115812917,8980
51,26,156.38397612219816,34174,189.64402451481104,59137.7850752782,9166
52,26,178.43268672801128,24126,205.71182427988953,60664.54319667261,8415
53,26,135.69895570759812,36101,145.610167985068,57094.00091064314,8785
54,26,147.9415897939156,25475,162.64553472987873,57514.400907225405,9259
55,26,143.8577703779801,28229,156.4197996337391,58864.61218147918,8045
56,26,143.77558742752518,32770,162.9340030244113,57506.51285642821,9995
57,26,143.01327842352399,25982,155.43112038002548,58844.696089874524,6854
58,26,165.35313367711225,50420,198.9365113449288,59783.91522913399,11478
59,26,163.07655026319168,31156,190.62900962309544,58135.3570212766,9400
5,26,156.0365035783409,66651,185.98520958083833,59937.236434368504,14909
60,26,141.77609219045837,42781,157.46240660024907,56643.31444106534,10851
61,26,150.9514167091558,27458,167.6965340465842,57877.44273709484,8330
62,26,154.8098337611539,32724,177.56396255850234,59454.94595621769,13156
63,26,156.90348779272546,40140,189.91984663136753,58630.84677860924,10958
64,26,171.16890162135803,32812,199.48566395929151,59025.73936873937,10582
65,26,170.2071729653781,55514,203.82867086066122,59550.49965667201,13107
66,26,144.15941092882056,30964,161.43723440909613,58583.88045375218,9168
67,26,174.4588635748269,51706,220.19682870542692,59762.35481958326,11806
68,26,151.32953416149067,32200,174.81640385009214,57493.85214045214,10395
69,26,153.6105058260564,36989,170.61562306261624,59350.42152974504,8825
6,26,152.33754146481158,41903,183.07111191531712,59513.723288850626,11615
70,26,155.85819018184432,41739,180.93189792663478,58021.42759153705,10351
71,26,144.65755337094993,34382,162.7534994539859,58156.46042216359,10612
72,26,145.88674708784148,24123,160.53893109061312,58817.62149638336,8848
73,26,147.10616860260473,22728,161.5374981582437,59153.99467360337,8073
7,26,162.68109538149784,35531,196.66809342141994,59312.416257209996,9362
8,26,145.33674604941018,53916,173.4524783014131,58762.47612582032,13257
9,26,155.39052408984398,34994,181.7008883597399,58484.01697424257,10133
12,27,157.7053328856192,32759,182.9408222591362,59441.166103222895,8874
13,27,145.29412610195476,41744,171.03974932855863,59185.66587850127,10996
14,27,158.05270082030646,25844,182.5478522984175,58760.81828943474,10137
16,27,146.6715027900712,51970,170.421347507542,59078.15697569757,11110
17,27,151.9595421879159,26299,171.18758024979573,59567.885944855414,7435
19,27,144.26114455536083,26246,162.11016132915964,58229.489614599595,8329
1,27,151.42374460891614,46141,175.00216865460004,59498.0851911438,13053
2,27,165.58348845399206,39754,194.84409799554567,60084.53177570093,11770
3,27,141.2278956558548,37798,162.06845131153432,58760.349501359924,11030
48,27,146.9405328680841,33817,167.1978054862843,58529.20585825481,9764
49,27,138.41789910309032,46047,155.97657337250658,58870.55095426719,11108
4,27,140.86637173504636,33002,160.54411911661836,57419.144990321685,10849
50,27,148.41948310139165,34707,167.3287005457026,58300.32821723731,9317
51,27,164.73840836799607,32696,191.01626016260164,59636.197111299916,9416
52,27,179.60955685901178,32563,223.2019055341577,59532.51711069,8971
53,27,145.95022741201896,31001,163.06447521403658,58378.80335439961,8228
54,27,139.57945862335654,32325,155.70388059701492,57229.56118916717,9822
55,27,142.4644429065744,36125,160.396016886931,57855.63525447362,8606
56,27,137.0929453733589,41207,148.63484836165543,57711.053167964616,10401
57,27,149.82483380181145,22413,162.15603310197545,58510.751278409094,7040
58,27,168.56400349480634,51505,205.70133819951337,59665.219603825135,11712
59,27,152.86654389195826,32580,175.3557603686636,58620.14916520211,9104
5,27,157.60352092611754,66687,192.7679411036872,59622.27415548513,14831
60,27,141.01432550736172,32669,155.22698733638396,57879.80385982733,9845
61,27,149.28819184241516,28023,167.65194520547945,58621.07460398569,7828
62,27,144.55405347317745,46528,163.78544776119404,58184.447351850555,14293
63,27,153.6892551381801,35859,173.46612760082832,59662.30263405456,10630
64,27,170.53379890328767,40667,198.81760012639228,57547.081453634084,12768
65,27,174.96961928534483,44469,217.1772151898734,60014.27386873216,12265
66,27,149.7675499908831,32906,173.23427235274468,58708.790798348935,9933
67,27,161.97489851006398,47049,192.31105459747278,59825.63566313118,11031
68,27,147.29845321858463,34394,163.76694376528118,59402.47643577378,9124
69,27,158.48977635782748,37560,183.17403478998727,58416.203362365806,9874
6,27,152.17942444649,41282,182.83574522997512,59630.8746564504,12007
70,27,155.31450815226063,31341,175.24462061155154,57965.33116441682,10297
71,27,148.23719311215845,32463,165.4399713906202,59033.857200241015,9958
72,27,146.28853037685195,40228,162.41220939684604,58793.90207237195,9313
73,27,146.10120481927711,47725,165.41687472462917,58236.07158279356,12042
7,27,157.51032532558503,38546,180.39947598253275,60406.976738934056,8856
8,27,154.71495149653055,57934,195.63966499162478,59558.29355590062,12880
9,27,162.79710359972697,33697,192.4195193722413,59032.14235294118,10200
12,28,150.0646578782172,31860,169.2788522177843,59072.013640041616,8651
13,28,153.0424054139623,50536,178.57338703978516,58797.28606439618,11833
14,28,166.04511118526833,32963,198.47662311147408,59430.48771142884,10701
16,28,150.09961630695443,41700,171.01307022039978,59700.54667609618,11312
17,28,161.22233889472253,25713,189.69692907628564,58830.46684636119,7420
19,28,144.19411580594678,15975,155.00115908432338,54116.92997744515,9754
1,28,159.96327894378305,61654,193.57583449676355,59854.227506906594,13393
2,28,146.72256141531656,41602,172.70686088605413,58929.06135173331,12029
3,28,159.40144690781796,42850,192.07980622131566,58943.34345991561,11850
48,28,153.09113982464237,34672,177.88747468903674,58072.6421965869,10489
49,28,151.71701305940437,50232,174.31354865771812,58884.884707958925,12464
4,28,152.78373003916843,33190,180.4973793988662,59549.53080185821,9902
50,28,141.77842114122203,29705,161.40625724217844,58315.82416570771,8690
51,28,151.26601635346435,34855,169.08684668989548,58688.26832514333,9768
52,28,183.10221274868047,29556,220.98247557659383,59762.50703469015,9311
53,28,140.0867301231803,35720,152.2729991842654,58459.54870288791,8172
54,28,146.85906395862244,39635,162.5873442462741,58472.013197547545,9623
55,28,155.85249870779944,36759,176.27727149688712,58938.78245721898,9759
56,28,139.76939947479295,34653,155.270979020979,57223.24751093328,10747
57,28,145.58937130624972,21489,161.72539015606242,58769.29351583022,7233
58,28,146.42357378779292,51167,171.82800868486353,58773.085497923625,12281
59,28,153.53549919416406,35367,171.3565906270879,59677.81194202899,8625
5,28,148.31776673040153,65375,176.0732782711296,57781.462854643854,18293
60,28,141.32325735051205,30270,155.1577752553916,54523.1015524968,12496
61,28,150.8677558569667,29196,170.79032433018764,58515.486682505936,7997
62,28,147.2244793713163,50900,174.88331850893508,58090.31176629335,14822
63,28,149.27759281218644,43852,176.31336562154814,59535.67882386203,10611
64,28,159.08116536944237,37516,188.028097525605,60309.22013840136,9971
65,28,169.89428250151371,57805,207.47534192530247,59476.403383114906,13124
66,28,148.55431103283155,36337,164.8548387096774,59528.52371897518,9992
67,28,163.81776951799628,58651,192.77987342565325,59881.1706286318,11358
68,28,149.81070551819832,37476,172.43160440741735,59007.86845799078,9974
69,28,160.71327761228562,34577,187.66152808555736,57679.81218098451,11559
6,28,154.22575724558726,45890,188.76736869702,59318.766379179906,13218
70,28,156.61363949483354,43550,181.74709114414998,58606.68664961637,9775
71,28,151.21224199288255,35125,170.9259293169749,58854.25880934718,10784
72,28,137.81374625374625,25025,149.8235294117647,58449.01167693805,9249
73,28,146.53611915394808,40754,165.65635710106162,59051.05913978495,10974
7,28,171.68059309309308,26640,201.42251358374676,60240.589992284804,9073
8,28,152.67363404814722,60855,188.85841228356747,59707.72116107686,13298
9,28,160.91870614035088,45600,194.45085921012964,58974.805169357096,10717
12,29,157.82157386377818,40067,189.4777303233679,59170.15254898138,10259
13,29,149.65059603258618,43454,175.75796128012644,59142.29907563025,11900
14,29,160.65160660008684,46060,189.67463000525882,59626.90012011457,10823
